merges,lr,dropout,weight_decay,scheduler,vocab_size,model_size,val_ppl,train_ppl,val_loss,train_loss,epochs,ckpt_best,ckpt_last,full_config_file,run
10,0.03,0.0,0.0001,cosine_warmup,270,72900,14.25053596496582,14.040437698364258,2.656949472617343,2.6419415383089677,60,../checkpoints/nBigram/hparams_search/best_hps_250827_192408_d001ea3c.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_192408_d001ea3c.pt,../checkpoints/nBigram/hparams_search/hps_250827_192408_d001ea3c_hparams.json,hps_250827_192408_d001ea3c
10,0.003,0.0,0.0001,cosine_warmup,270,72900,14.306400299072266,14.103891372680664,2.6607069088959916,2.646450684408745,60,../checkpoints/nBigram/hparams_search/best_hps_250827_192147_0a73b00f.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_192147_0a73b00f.pt,../checkpoints/nBigram/hparams_search/hps_250827_192147_0a73b00f_hparams.json,hps_250827_192147_0a73b00f
10,0.03,0.2,0.0001,cosine_warmup,270,72900,14.52660083770752,25.051654815673828,2.6760087133562105,3.220939786557246,55,../checkpoints/nBigram/hparams_search/best_hps_250827_192455_1fd07a43.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_192455_1fd07a43.pt,../checkpoints/nBigram/hparams_search/hps_250827_192455_1fd07a43_hparams.json,hps_250827_192455_1fd07a43
10,0.003,0.2,0.0001,cosine_warmup,270,72900,14.75588607788086,25.132387161254883,2.691641986132618,3.2241574256200005,60,../checkpoints/nBigram/hparams_search/best_hps_250827_192234_f8884b63.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_192234_f8884b63.pt,../checkpoints/nBigram/hparams_search/hps_250827_192234_f8884b63_hparams.json,hps_250827_192234_f8884b63
10,0.03,0.4,0.0001,cosine_warmup,270,72900,15.727794647216797,44.84013748168945,2.7554650325699157,3.8031035937154125,60,../checkpoints/nBigram/hparams_search/best_hps_250827_192541_6978c834.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_192541_6978c834.pt,../checkpoints/nBigram/hparams_search/hps_250827_192541_6978c834_hparams.json,hps_250827_192541_6978c834
10,0.003,0.4,0.0001,cosine_warmup,270,72900,16.56624412536621,44.924129486083984,2.8073669676761703,3.8049750540043354,60,../checkpoints/nBigram/hparams_search/best_hps_250827_192322_2549bbd8.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_192322_2549bbd8.pt,../checkpoints/nBigram/hparams_search/hps_250827_192322_2549bbd8_hparams.json,hps_250827_192322_2549bbd8
50,0.03,0.0,0.0001,cosine_warmup,310,96100,20.78940200805664,20.297733306884766,3.0346750161343348,3.0105092346571007,60,../checkpoints/nBigram/hparams_search/best_hps_250827_193034_b1a0d2d2.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_193034_b1a0d2d2.pt,../checkpoints/nBigram/hparams_search/hps_250827_193034_b1a0d2d2_hparams.json,hps_250827_193034_b1a0d2d2
50,0.003,0.0,0.0001,cosine_warmup,310,96100,20.950838088989258,20.50221824645996,3.0421786078963904,3.0205332007727073,60,../checkpoints/nBigram/hparams_search/best_hps_250827_192834_075fa0d6.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_192834_075fa0d6.pt,../checkpoints/nBigram/hparams_search/hps_250827_192834_075fa0d6_hparams.json,hps_250827_192834_075fa0d6
50,0.03,0.2,0.0001,cosine_warmup,310,96100,21.22171401977539,34.72538757324219,3.0550248508231954,3.5474709725496627,60,../checkpoints/nBigram/hparams_search/best_hps_250827_193114_b9de579b.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_193114_b9de579b.pt,../checkpoints/nBigram/hparams_search/hps_250827_193114_b9de579b_hparams.json,hps_250827_193114_b9de579b
50,0.003,0.2,0.0001,cosine_warmup,310,96100,21.755718231201172,34.95347213745117,3.079876660905272,3.5540176985897793,60,../checkpoints/nBigram/hparams_search/best_hps_250827_192913_49159fa0.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_192913_49159fa0.pt,../checkpoints/nBigram/hparams_search/hps_250827_192913_49159fa0_hparams.json,hps_250827_192913_49159fa0
50,0.03,0.4,0.0001,cosine_warmup,310,96100,23.12141990661621,59.707149505615234,3.140759406398185,4.089451607055415,60,../checkpoints/nBigram/hparams_search/best_hps_250827_193155_b4d21782.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_193155_b4d21782.pt,../checkpoints/nBigram/hparams_search/hps_250827_193155_b4d21782_hparams.json,hps_250827_193155_b4d21782
50,0.003,0.4,0.0001,cosine_warmup,310,96100,24.891399383544922,59.95647430419922,3.2145222779332503,4.093619053359911,60,../checkpoints/nBigram/hparams_search/best_hps_250827_192953_a20be66a.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_192953_a20be66a.pt,../checkpoints/nBigram/hparams_search/hps_250827_192953_a20be66a_hparams.json,hps_250827_192953_a20be66a
200,0.03,0.0,0.0001,cosine_warmup,460,211600,31.037220001220703,28.088708877563477,3.4429394667315636,3.335367756826626,60,../checkpoints/nBigram/hparams_search/best_hps_250827_193551_bc63915a.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_193551_bc63915a.pt,../checkpoints/nBigram/hparams_search/hps_250827_193551_bc63915a_hparams.json,hps_250827_193551_bc63915a
200,0.003,0.0,0.0001,cosine_warmup,460,211600,31.276500701904297,28.808338165283203,3.4428671413672705,3.360664846007727,60,../checkpoints/nBigram/hparams_search/best_hps_250827_193415_8e985cc2.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_193415_8e985cc2.pt,../checkpoints/nBigram/hparams_search/hps_250827_193415_8e985cc2_hparams.json,hps_250827_193415_8e985cc2
200,0.03,0.2,0.0001,cosine_warmup,460,211600,31.80671501159668,49.1587028503418,3.4605151295915024,3.8950539711500785,29,../checkpoints/nBigram/hparams_search/best_hps_250827_193624_32588871.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_193624_32588871.pt,../checkpoints/nBigram/hparams_search/hps_250827_193624_32588871_hparams.json,hps_250827_193624_32588871
200,0.003,0.2,0.0001,cosine_warmup,460,211600,32.76594161987305,49.63562774658203,3.4893895855881354,3.9047087746104974,60,../checkpoints/nBigram/hparams_search/best_hps_250827_193446_4772feb8.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_193446_4772feb8.pt,../checkpoints/nBigram/hparams_search/hps_250827_193446_4772feb8_hparams.json,hps_250827_193446_4772feb8
200,0.03,0.4,0.0001,cosine_warmup,460,211600,35.180580139160156,84.97783660888672,3.5604988956653894,4.442390457838929,60,../checkpoints/nBigram/hparams_search/best_hps_250827_193639_1dffec57.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_193639_1dffec57.pt,../checkpoints/nBigram/hparams_search/hps_250827_193639_1dffec57_hparams.json,hps_250827_193639_1dffec57
200,0.003,0.4,0.0001,cosine_warmup,460,211600,38.929386138916016,86.18940734863281,3.661749368007522,4.45654727373751,60,../checkpoints/nBigram/hparams_search/best_hps_250827_193519_d489bd31.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_193519_d489bd31.pt,../checkpoints/nBigram/hparams_search/hps_250827_193519_d489bd31_hparams.json,hps_250827_193519_d489bd31
10,0.0003,0.0,0.0001,cosine_warmup,270,72900,42.44211959838867,42.2254524230957,3.748141305221821,3.7430231417065976,60,../checkpoints/nBigram/hparams_search/best_hps_250827_191902_482bcdb3.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_191902_482bcdb3.pt,../checkpoints/nBigram/hparams_search/hps_250827_191902_482bcdb3_hparams.json,hps_250827_191902_482bcdb3
800,0.03,0.0,0.0001,cosine_warmup,1060,1123600,46.215152740478516,31.9905948638916,3.9335387283611554,3.4654418909601525,60,../checkpoints/nBigram/hparams_search/best_hps_250827_193955_3afb8909.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_193955_3afb8909.pt,../checkpoints/nBigram/hparams_search/hps_250827_193955_3afb8909_hparams.json,hps_250827_193955_3afb8909
800,0.03,0.2,0.0001,cosine_warmup,1060,1123600,47.779808044433594,65.67839813232422,3.876032381850337,4.184769941946608,18,../checkpoints/nBigram/hparams_search/best_hps_250827_194022_30ca6151.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_194022_30ca6151.pt,../checkpoints/nBigram/hparams_search/hps_250827_194022_30ca6151_hparams.json,hps_250827_194022_30ca6151
800,0.003,0.0,0.0001,cosine_warmup,1060,1123600,47.8426399230957,35.933902740478516,3.8679172423825507,3.581681338571378,60,../checkpoints/nBigram/hparams_search/best_hps_250827_193833_eb67e3b5.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_193833_eb67e3b5.pt,../checkpoints/nBigram/hparams_search/hps_250827_193833_eb67e3b5_hparams.json,hps_250827_193833_eb67e3b5
10,0.0003,0.2,0.0001,cosine_warmup,270,72900,49.17646026611328,61.3098258972168,3.895415054057857,4.115940093372956,60,../checkpoints/nBigram/hparams_search/best_hps_250827_192006_3393cfe0.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_192006_3393cfe0.pt,../checkpoints/nBigram/hparams_search/hps_250827_192006_3393cfe0_hparams.json,hps_250827_192006_3393cfe0
10,0.0003,0.4,0.0001,cosine_warmup,270,72900,51.7917594909668,80.25806427001953,3.9472310850186494,4.38524715769584,60,../checkpoints/nBigram/hparams_search/best_hps_250827_192057_2e574446.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_192057_2e574446.pt,../checkpoints/nBigram/hparams_search/hps_250827_192057_2e574446_hparams.json,hps_250827_192057_2e574446
