merges,vocab_size,K,beta,R2,util_now,compression_ratio,chars_per_token,tokens_per_1k_chars,N_star,V_end,V_hat_star,util_star,train_K,train_beta,train_R2,train_util_now,train_compression_ratio,train_chars_per_token,train_tokens_per_1k_chars,train_N_star,train_V_end,train_V_hat_star,train_util_star
10,270,45.460133787709424,0.040955733012004045,0.8745862258382607,0.26296296296296295,8.593036838854033e-05,1.1288133024444107,885.8860874818985,461870,71,77.55776192487684,0.28725097009213646,61.52728908708891,0.01214172353988182,0.8477003675676742,0.2851851851851852,1.1241495799748482e-05,1.132131121347099,883.2899132832962,3817685,77,73.95749238164098,0.2739166384505221
30,290,64.704141882396,0.0317457881202513,0.8717845793328759,0.3137931034482759,0.00011154189711013383,1.2962829438090502,771.436517602831,402200,91,97.46518517761145,0.3360868454400395,81.4974946814104,0.009463778923155437,0.8477267991270706,0.33448275862068966,1.4342122285537983e-05,1.2995222388925805,769.5135720433491,3325930,97,93.94338441118644,0.32394270486616017
50,310,82.65284677990738,0.02777072895573407,0.8242511187458026,0.3580645161290323,0.00013765695113210043,1.4275172838661099,700.5169123358876,365225,111,117.95984040155504,0.38051561419856467,101.15101665190323,0.008023447911719673,0.8367999029150004,0.3774193548387097,1.75027416272477e-05,1.4329045016551543,697.8832147187029,3016335,117,114.01395708488704,0.3677869583383453
70,330,91.70283186283521,0.033879930646427164,0.805855245093775,0.396969696969697,0.00016423058492883493,1.527563323127408,654.6373461970021,341305,131,141.2034267973474,0.4278891721131739,119.8694741896952,0.007653802965167862,0.8546406877761137,0.41515151515151516,2.0718025517419633e-05,1.535402623469125,651.2949663591015,2814975,137,134.29863781575867,0.4069655691386626
90,350,102.80889740620695,0.036842287526518476,0.7664216996345239,0.43142857142857144,0.00019122472947914992,1.6149831180497476,619.2015190893137,322830,151,164.0566735260077,0.4687333529314506,139.86387871924632,0.006635046838454467,0.8549430999959717,0.44857142857142857,2.3983458648433733e-05,1.6211486130412196,616.8465938011901,2666085,157,154.29133716974377,0.4408323919135536
110,370,109.80615460684164,0.04277324704278022,0.7424663994963729,0.46216216216216216,0.00021860678066054515,1.6868832303361698,592.8092603070786,309070,171,188.56202821384423,0.5096271032806601,156.91840326437475,0.007360173653414891,0.8843597229089613,0.4783783783783784,2.7295172105055422e-05,1.695308026013352,589.8633078211618,2549460,177,174.91475719716848,0.47274258701937427
130,390,116.68771559919286,0.04790360340449849,0.717155250014524,0.4897435897435897,0.00024634854089837727,1.750663174507236,571.2121066814996,297810,191,213.42562106675942,0.5472451822224601,176.91007434622307,0.006584937587627174,0.8845186970393896,0.5051282051282051,3.0649818401629896e-05,1.760792293794011,567.9261566083311,2454645,197,194.90825878574623,0.49976476611729803
150,410,120.7008028089259,0.05449294171913843,0.701290102759374,0.5146341463414634,0.0002744254116890951,1.8092271922823333,552.7221811974337,288170,211,239.45421202967475,0.5840346634870116,196.90597642569227,0.005957458571657707,0.884646268263004,0.5292682926829269,3.4044476104765314e-05,1.8195182325651884,549.5960315770965,2375420,217,214.90281644623863,0.5241532108444845
170,430,131.96013898885272,0.05487852644400449,0.6772316393385621,0.5372093023255814,0.0003028157679024,1.8610540969854896,537.3298936445676,280145,231,262.65586900504485,0.6108276023373136,216.56777848765387,0.005567685124866305,0.8707845586905009,0.5511627906976744,3.7476575900409946e-05,1.8706872485603423,534.562899688116,2310445,237,234.97675132769314,0.5464575612271934
190,450,135.91496203845492,0.05991591933595033,0.6841382178298697,0.5555555555555556,0.00033017974718471275,1.9053649088184774,524.8338496063219,273630,250,287.76629842987717,0.6394806631775048,234.8938839996385,0.005380769146781024,0.8324455172994877,0.5688888888888889,4.078452792248729e-05,1.9172228099708788,521.5877856237217,2254365,256,254.12995868509748,0.5647332415224389
300,560,138.1177946522358,0.09361048825713754,0.7028977673269003,0.6339285714285714,0.0004856385807890501,2.10993524888709,473.9481936838875,247100,355,441.6508657391257,0.7886622602484388,303.9691038268896,0.013373288040860996,0.798581074715484,0.6535714285714286,6.039638794521443e-05,2.1277081743668003,469.989264527593,2031350,366,369.13503419629535,0.659169703921956
400,660,125.17883437500431,0.1258210574134345,0.747094532947788,0.6712121212121213,0.0006217574211611132,2.261838138001345,442.1182856540044,230505,443,591.9281793154136,0.8968608777506266,341.0447384591717,0.02281104009495119,0.8177698220378197,0.6984848484848485,7.804826069092181e-05,2.278817915798909,438.8240030355474,1896650,461,474.2624837184925,0.7185795207855947
500,760,118.29760654949092,0.15055943230627145,0.7696179173903416,0.7039473684210527,0.0007671977570981129,2.3955385039514794,417.4426745178522,217640,535,752.7016515376321,0.9903969099179369,379.5663160905795,0.029525904602567453,0.7828359583324104,0.7328947368421053,9.635045948661222e-05,2.4038420360343826,416.0007126132546,1798005,557,580.7189846826889,0.7641039272140643
600,860,102.23871569858291,0.18091563230910532,0.8046311311710885,0.7244186046511628,0.0009100396533160299,2.4920653888437454,401.2735799296079,209210,623,860.0,1.0,411.91311728281687,0.036035992415527324,0.7674018621774457,0.7581395348837209,0.00011488542041312206,2.5096213027371648,398.4664932949571,1722220,652,691.0814959953742,0.8035831348783421
700,960,89.96611247449077,0.2059957644008415,0.8209283041954931,0.7291666666666666,0.001039162735218783,2.59766821952617,384.9606321866639,200705,700,960.0,1.0,429.0197224737901,0.043098675110412515,0.735614236494604,0.7677083333333333,0.00013197694304537395,2.602730321990112,384.21191452342833,1660610,737,795.3578138923837,0.8284977228045663
800,1060,78.39125379029181,0.23195295667383123,0.8457297549726157,0.7433962264150943,0.0011866807348509206,2.6819877054450987,372.85778677126393,194395,788,1060.0,1.0,447.4607715414649,0.04977804805751306,0.7163535484731044,0.7867924528301887,0.0001515021435198787,2.6857226300957873,372.33926869221585,1609295,834,911.4003171958366,0.8598116199960723
900,1160,68.45816845666859,0.25558324857673226,0.8609018002251143,0.75,0.001327123408671377,2.7447486180573835,364.3320898027294,189950,870,1160.0,1.0,461.58520049762177,0.05605210346035176,0.7144438585920869,0.7982758620689655,0.00017039156669198632,2.759630825024981,362.3673104865205,1566195,926,1026.800367494705,0.8851727305988836
1000,1260,63.07705039461345,0.272931786001755,0.8740656340977294,0.753968253968254,0.0014661405063912632,2.81400620698961,355.3652431597825,185275,950,1260.0,1.0,465.58817865560127,0.0632904999631728,0.7139101406701667,0.8071428571428572,0.0001893293712543675,2.8280573185892823,353.59962240752225,1528300,1017,1146.5779881425988,0.9099825302719038
1100,1360,56.54939486570162,0.2914391752945527,0.8827078667930031,0.7514705882352941,0.001594132340217016,2.883177570093458,346.83954619124796,180830,1022,1360.0,1.0,471.5927138568534,0.06908997139420889,0.7055501508900253,0.8102941176470588,0.00020734813029441696,2.891253231832336,345.8707763782588,1494895,1102,1259.420512496731,0.9260444944828904
1200,1460,51.020821564113945,0.30844869799742936,0.8975746902610425,0.7486301369863013,0.0017216443929887989,2.9325589897910396,340.9991081104409,177785,1093,1460.0,1.0,474.78858985095854,0.0745383610699648,0.7000515326396555,0.8123287671232877,0.0002253476492613888,2.949316428573866,339.0616179097295,1465465,1186,1368.0500235229224,0.9370205640567961
1300,1560,47.354698106237635,0.3228810467385612,0.9020262297139963,0.7487179487179487,0.0018565091464322536,2.980591127372513,335.503917600913,174920,1168,1560.0,1.0,478.11604802435585,0.07974502885572299,0.6983256032030314,0.8134615384615385,0.0002433105413284644,3.003307576852521,332.96622953550576,1439120,1269,1481.1905914865017,0.9494811483887832
1400,1660,42.54635220002695,0.3400630733589713,0.9159979807096795,0.7506024096385542,0.0019972244639204183,3.0230191633084975,330.79512433707674,172465,1246,1660.0,1.0,463.43307464305775,0.08837282743721131,0.7065202498537226,0.8186746987951807,0.0002627685254167876,3.0542643328080503,327.41108530073205,1415110,1359,1620.1295621343147,0.9759816639363341
1500,1760,39.68168111324706,0.352044293305596,0.9238784971394607,0.7482954545454545,0.002127685669874988,3.0635191115550726,326.42198843420636,170185,1317,1760.0,1.0,453.94149304732673,0.09583465697344254,0.7170210486808098,0.8227272727272728,0.0002821858989552528,3.1020964766846815,322.3626368541364,1393290,1448,1760.0,1.0
